% Model,EMSI_model_V1_modval_noflow_C_rate_0.5.mph
% Version,COMSOL 6.3.0.420
% Date,"Apr 12 2026, 18:50"
% Dimension,1
% Nodes,107
% Expressions,1
% Description,Global
% timeint(0;t;liion.cdc1.Icell; 'nointerp')*4 (Ah),Cell potential
0,2.6481668211226115
0.014132685831180285,3.211299133798803
0.042396926923900374,3.2959684674305576
0.07066116801662044,3.3540761818643565
0.09892540910934049,3.3972718556481203
0.12718965020206052,3.4278016800821858
0.15545389129478057,3.4476230783552175
0.18371813238750062,3.462699511174891
0.21198237348022067,3.4771324020352243
0.24024661457294072,3.4914319242609593
0.26851085566566074,3.5047191722964173
0.2967750967583808,3.514781300146196
0.32503933785110084,3.5219543079445716
0.3533035789438209,3.5274506665789502
0.381567820036541,3.5329668377759065
0.409832061129261,3.5392327449457466
0.43809630222198104,3.546309452913745
0.46636054331470106,3.554108899323989
0.49462478440742114,3.56249664295328
0.5228890255001413,3.57137057095208
0.5511532665928612,3.5807803600494497
0.5794175076855813,3.5907693804945153
0.6076817487783015,3.6012161025872924
0.6359459898710216,3.611493453725251
0.6642102309637415,3.6212625151732145
0.6924744720564616,3.6306551589791916
0.7207387131491818,3.640045261880266
0.7490029542419018,3.649336354994942
0.7772671953346219,3.657913651901105
0.805531436427342,3.6656861035787403
0.833795677520062,3.673130094817173
0.8620599186127821,3.680190991984733
0.8903241597055022,3.6866718796669486
0.9185884007982223,3.692374420933439
0.9468526418909424,3.697395257598703
0.9751168829836625,3.701999882712711
1.0033811240763826,3.70653189968099
1.0316453651691027,3.710913449569281
1.059909606261823,3.7152352915151905
1.088173847354543,3.7194618618408315
1.116438088447263,3.723588744856355
1.144702329539983,3.727634703684166
1.172966570632703,3.7316470021932453
1.2012308117254231,3.735646022501406
1.2294950528181432,3.7397036537147774
1.2577592939108635,3.743846571848728
1.2860235350035836,3.7480558464041667
1.3142877760963037,3.752511622250441
1.3425520171890237,3.7572027097349796
1.3708162582817438,3.7621354281940786
1.3990804993744639,3.767283191666811
1.4273447404671842,3.772710010681301
1.4556089815599043,3.7783668510246073
1.4838732226526243,3.784186804781005
1.5121374637453444,3.790081800722464
1.5404017048380645,3.7960738507054734
1.5686659459307846,3.8023514042003645
1.5969301870235049,3.8089459801354004
1.625194428116225,3.8157396536243775
1.653458669208945,3.8226856265871216
1.681722910301665,3.8299038646970196
1.7099871513943852,3.8374877462501615
1.7382513924871053,3.8453580492787043
1.7665156335798253,3.853476590860506
1.7947798746725456,3.8618250050995173
1.8230441157652657,3.870442703780265
1.8513083568579858,3.8792604822805004
1.8795725979507059,3.8881764885763315
1.907836839043426,3.8972461856841796
1.936101080136146,3.906467410392595
1.9643653212288663,3.9158148071326644
1.9926295623215864,3.9252907972711695
2.0208938034143062,3.93456300536847
2.0491580445070268,3.943265986443867
2.077422285599747,3.9513649596210363
2.105686526692467,3.959169246925209
2.133950767785187,3.9667749404927437
2.162215008877907,3.974281326040142
2.190479249970627,3.9815976033394156
2.2187434910633472,3.988756798860509
2.2470077321560673,3.9958317752204917
2.2752719732487874,4.002755881652426
2.3035362143415075,4.009587119614429
2.3318004554342275,4.0163492930658045
2.3600646965269476,4.0230778004288466
2.3883289376196677,4.029818864673928
2.4165931787123878,4.036635586887354
2.444857419805108,4.043583360656237
2.473121660897828,4.050782580537768
2.501385901990548,4.0581865881679775
2.529650143083268,4.065931136859003
2.557914384175988,4.074027992656179
2.5861786252687082,4.082482831650676
2.6144428663614288,4.0912895241916605
2.642707107454149,4.100428857315355
2.670971348546869,4.109947746381747
2.699235589639589,4.119767945618734
2.727499830732309,4.12978700123642
2.755764071825029,4.139886549408007
2.784028312917749,4.149996112308307
2.8122925540104693,4.160115460187585
2.8405567951031894,4.170018972403056
2.8688210361959094,4.179693558807861
2.8970852772886295,4.1890101923027565
2.9253495183813496,4.197792754623456
2.9328838219927253,4.200012315933322
2.9328838219927262,4.200009199199502
